entreprise,secteur,code_naf,email
PALAIS DE VILLEPINTE,Restauration,56.10A,
PAPA BALLA MBOUP,Restauration,56.10A,
PETRONILLE SAVEURS COLOREES,Restauration,56.21Z,
PIZZA & CREPES DELICES,Restauration,56.10C,
PIZZA 2000,Restauration,56.10C,
PIZZA PARTY,Restauration,56.10C,
POP'S,Restauration,56.10C,
POULETTE 4 LIFE,Restauration,56.10C,
PUNJAB PALACE,Restauration,56.10C,
QUICKLY PIZZA,Restauration,56.10C,
R-FOOD,Restauration,56.10C,
RASTA QUEEN AFRO CARIBBEAN TRAITEUR,Restauration,56.21Z,
RAYMOND APIOU,Restauration,56.10A,
REGAL SERVICE,Restauration,56.10C,
RICE STREET GOURMET,Restauration,56.10A,
RIE LE RAVEL,Restauration,56.29B,
ROJIN,Restauration,56.10C,
S.V.R. BABAM,Restauration,56.10C,
S.Z. KEBAB DE LA FONTAINE,Restauration,56.10C,
SAB FOOD & CAKE,Restauration,56.21Z,
SAIN PLISSIME,Restauration,56.10C,
SANTE RESTAURATION SERVICES,Restauration,56.29B,
SARL CAPPADOCE,Restauration,56.10C,
SARL PIZZA MATCH,Restauration,56.10A,
SASU AER,Restauration,56.10C,
SHAHIYA TAIBAN,Restauration,56.21Z,
SHERVIN,Restauration,56.30Z,
SMA PIZZA,Restauration,56.10C,
SODEXO SANTE MEDICO SOCIAL,Restauration,56.29A,
SOGERES,Restauration,56.29A,
SOGERES APFA,Restauration,56.29B,
STANLEY VILBRUN,Restauration,56.21Z,
STARK FOOD,Restauration,56.10C,
STARTER CAFE N CO,Restauration,56.10A,
STEPHANIE RISSE,Restauration,56.21Z,
SUSHI GOURMET,Restauration,56.21Z,
SUSHI NIGHT DIRECT,Restauration,56.10C,
SWEET SWEET,Restauration,56.10C,
TERANGA SENEGAL,Restauration,56.10C,
TIRASAMSKO,Restauration,56.21Z,
TOP PIZZA,Restauration,56.10A,
TRAITEUR NOURIA,Restauration,56.21Z,
UKKO,Restauration,56.21Z,
V.G.M.I,Restauration,56.30Z,
VERITES,Restauration,56.10A,
VLP LOUNGE,Restauration,56.10C,
VPADRI FOOD,Restauration,56.10C,
WARREN KISSOUNA,Restauration,56.10A,
WILFRID LEMOYNE,Restauration,56.21Z,
XAVIER CORALIE,Restauration,56.10C,
YANG,Restauration,56.10A,
ZAHRA,Restauration,56.10C,
ZITJONAA,Restauration,56.21Z,
A.I.I. THERM,Réparation / installation de machines,33.20A,
BUHLER SAS,Réparation / installation de machines,33.20B,
CARLOS ESTEVES,Réparation / installation de machines,33.14Z,
CEPTIM,Réparation / installation de machines,33.20A,
DEMATIC SAS,Réparation / installation de machines,33.12Z,
DFM SPADE,Réparation / installation de machines,33.12Z,
DIEGO RODRIGUEZ,Réparation / installation de machines,33.20B,
FIMADA,Réparation / installation de machines,33.20C,
IM AEROSERVICES,Réparation / installation de machines,33.16Z,
JOHNNY JAVELLE,Réparation / installation de machines,33.20B,
METESA FRANCE,Réparation / installation de machines,33.14Z,
SBK24,Réparation / installation de machines,33.20A,
SOC FRANCAISE D'ORGANISATION COMMERCIALE,Réparation / installation de machines,33.12Z,
SONEILTIM,Réparation / installation de machines,33.20A,
STI MAIANI,Réparation / installation de machines,33.20A,
TECH REPAIR EXPRESS,Réparation / installation de machines,33.13Z,
TECHNIAUTOMATION,Réparation / installation de machines,33.12Z,
TRANSFO SERVICES,Réparation / installation de machines,33.14Z,
ABAD,Réparation ordinateurs / articles personnels,95.29Z,
ALAN LABERT,Réparation ordinateurs / articles personnels,95.11Z,
ARCHANGE MAYER,Réparation ordinateurs / articles personnels,95.29Z,
BL SERVICES,Réparation ordinateurs / articles personnels,95.22Z,
CHRISTOPHE LELIEVRE,Réparation ordinateurs / articles personnels,95.29Z,
ERWAN DRILLET,Réparation ordinateurs / articles personnels,95.24Z,
FAHRI KIR,Réparation ordinateurs / articles personnels,95.29Z,
JOSEPH WINTERSTEIN,Réparation ordinateurs / articles personnels,95.29Z,
LEBRUN JASON,Réparation ordinateurs / articles personnels,95.23Z,
M&H SERVICES,Réparation ordinateurs / articles personnels,95.23Z,
MARION KIPRE,Réparation ordinateurs / articles personnels,95.29Z,
MOHAMED MOUMEN,Réparation ordinateurs / articles personnels,95.12Z,
NOUNOU TECH,Réparation ordinateurs / articles personnels,95.12Z,
O'REPARATEUR,Réparation ordinateurs / articles personnels,95.12Z,
RABIA ABBAD,Réparation ordinateurs / articles personnels,95.12Z,
REPAR'ACTION,Réparation ordinateurs / articles personnels,95.12Z,
REZOTECH,Réparation ordinateurs / articles personnels,95.11Z,
RM TELECOM REPAIR,Réparation ordinateurs / articles personnels,95.22Z,
SMARTFIX SOLUTIONS,Réparation ordinateurs / articles personnels,95.21Z,
SMSA,Réparation ordinateurs / articles personnels,95.11Z,
SOFIAN MCIRDI,Réparation ordinateurs / articles personnels,95.24Z,
VASILE HAIDUC,Réparation ordinateurs / articles personnels,95.29Z,
VELO - REPAR GOMES,Réparation ordinateurs / articles personnels,95.29Z,
VINCENT HEANG,Réparation ordinateurs / articles personnels,95.11Z,
1LINK FRANCE,Services d'information,63.11Z,
ACCELYA FRANCE,Services d'information,63.11Z,
CHRISTIANE GESTA,Services d'information,63.11Z,
HONEYWELL EUROPE SERVICES,Services d'information,63.11Z,
ITSE LAB FACTORY,Services d'information,63.12Z,
KEEPCOMM,Services d'information,63.12Z,
MATTHIEU DAMBRUNE,Services d'information,63.11Z,
MNPZ MINING,Services d'information,63.11Z,
PERMIS HUB,Services d'information,63.11Z,
TDAC,Services d'information,63.11Z,
THIERRY VIVIES,Services d'information,63.12Z,
4 DX-PERT SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
A&L,Services relatifs aux bâtiments / paysage,81.21Z,
A2SNET,Services relatifs aux bâtiments / paysage,81.22Z,
ACCESSIT,Services relatifs aux bâtiments / paysage,81.22Z,
ADAM NAQUAL,Services relatifs aux bâtiments / paysage,81.21Z,
ADEL MEZIANI,Services relatifs aux bâtiments / paysage,81.21Z,
ALL4HOME VILLEPINTE,Services relatifs aux bâtiments / paysage,81.21Z,
AMANE BACHRI,Services relatifs aux bâtiments / paysage,81.21Z,
AMINA BETTOUCHE,Services relatifs aux bâtiments / paysage,81.21Z,
ANA LIMA BATISTA,Services relatifs aux bâtiments / paysage,81.21Z,
AZ NETTOYAGE,Services relatifs aux bâtiments / paysage,81.21Z,
BAKOS ENVIRONNEMENT,Services relatifs aux bâtiments / paysage,81.21Z,
BATIPRONET,Services relatifs aux bâtiments / paysage,81.21Z,
BHOSS SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
BILEL OUGGAR,Services relatifs aux bâtiments / paysage,81.21Z,
BK SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
BOUBA SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
BRICONET,Services relatifs aux bâtiments / paysage,81.21Z,
CARRE VERT,Services relatifs aux bâtiments / paysage,81.30Z,
CHARTON                       JEAN,Services relatifs aux bâtiments / paysage,81.10Z,
CHAYMA BOUSELLAM,Services relatifs aux bâtiments / paysage,81.21Z,
CHENNI SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
CLARA MENAGE,Services relatifs aux bâtiments / paysage,81.21Z,
CLEAN D'OEIL,Services relatifs aux bâtiments / paysage,81.21Z,
CLEAN FAY,Services relatifs aux bâtiments / paysage,81.21Z,
CLEAN'DEY,Services relatifs aux bâtiments / paysage,81.21Z,
CLEANY BY S,Services relatifs aux bâtiments / paysage,81.29B,
CLINAS SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
DAYANE BUGANZA MULTISERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
DCCLEAN,Services relatifs aux bâtiments / paysage,81.21Z,
DERADJI IDRI,Services relatifs aux bâtiments / paysage,81.21Z,
DH SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
DJ SERVICE,Services relatifs aux bâtiments / paysage,81.21Z,
DJERROUD ABDELKRIM,Services relatifs aux bâtiments / paysage,81.21Z,
DJOHRA BENHACINE,Services relatifs aux bâtiments / paysage,81.21Z,
DUSUNCELI,Services relatifs aux bâtiments / paysage,81.21Z,
ED3D,Services relatifs aux bâtiments / paysage,81.29A,
EL HOUDA,Services relatifs aux bâtiments / paysage,81.21Z,
ELLIAS LEMEURS,Services relatifs aux bâtiments / paysage,81.22Z,
ETABLISSEMENT KIRI AMINE,Services relatifs aux bâtiments / paysage,81.21Z,
EUSEBIA LOPES TAVARES,Services relatifs aux bâtiments / paysage,81.21Z,
FAIZA BERROUBA,Services relatifs aux bâtiments / paysage,81.21Z,
FB SERVICE,Services relatifs aux bâtiments / paysage,81.21Z,
FLY BAT,Services relatifs aux bâtiments / paysage,81.22Z,
FRANCE - SOS - NUISIBLES,Services relatifs aux bâtiments / paysage,81.29A,
GEORGETTE CHRISTINE LIKANE,Services relatifs aux bâtiments / paysage,81.21Z,
GHEORGHE MITAN,Services relatifs aux bâtiments / paysage,81.21Z,
GHISLAIN REMYO,Services relatifs aux bâtiments / paysage,81.21Z,
GR SERVICE,Services relatifs aux bâtiments / paysage,81.21Z,
GT CLEAN,Services relatifs aux bâtiments / paysage,81.21Z,
GUMUBARI MAPEZA,Services relatifs aux bâtiments / paysage,81.21Z,
HENRY MOUSSA,Services relatifs aux bâtiments / paysage,81.21Z,
HESHAM ELFEKY,Services relatifs aux bâtiments / paysage,81.21Z,
HOM'BLEU,Services relatifs aux bâtiments / paysage,81.22Z,
HOME EXPERTS,Services relatifs aux bâtiments / paysage,81.10Z,
HUZLER COUVERTURE,Services relatifs aux bâtiments / paysage,81.22Z,
HYGINET IDF,Services relatifs aux bâtiments / paysage,81.21Z,
IBRAHIM SALIH,Services relatifs aux bâtiments / paysage,81.21Z,
INGRID MERLINI,Services relatifs aux bâtiments / paysage,81.21Z,
J.M.C SWEET SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
JSS,Services relatifs aux bâtiments / paysage,81.21Z,
K-SYNERGY,Services relatifs aux bâtiments / paysage,81.21Z,
KARIMA BETTAHAR,Services relatifs aux bâtiments / paysage,81.21Z,
KDT NETTOYAGES PLUS,Services relatifs aux bâtiments / paysage,81.22Z,
KOUROU CISSOKHO,Services relatifs aux bâtiments / paysage,81.21Z,
KYSPRO,Services relatifs aux bâtiments / paysage,81.21Z,
L'ARTISANAT BY SAYAM,Services relatifs aux bâtiments / paysage,81.21Z,
L'EXPERT DU NETTOYAGE,Services relatifs aux bâtiments / paysage,81.29B,
LAVAGE LH,Services relatifs aux bâtiments / paysage,81.21Z,
LIFESTYLE SERVICE,Services relatifs aux bâtiments / paysage,81.22Z,
LUKAS SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
MAISAA ZAHAF,Services relatifs aux bâtiments / paysage,81.21Z,
MALIK LEMEURS,Services relatifs aux bâtiments / paysage,81.21Z,
MANAGEMENT STE GLOBAL ENTER,Services relatifs aux bâtiments / paysage,81.21Z,
MARIE KONDO,Services relatifs aux bâtiments / paysage,81.21Z,
MASSINISSA,Services relatifs aux bâtiments / paysage,81.21Z,
MCI'SERVICE,Services relatifs aux bâtiments / paysage,81.21Z,
MOSCALU MARCEL,Services relatifs aux bâtiments / paysage,81.21Z,
MOUSSA CISSE,Services relatifs aux bâtiments / paysage,81.21Z,
NANA SO CLEAN,Services relatifs aux bâtiments / paysage,81.21Z,
NESSCLEAN,Services relatifs aux bâtiments / paysage,81.21Z,
NET ECLAIR,Services relatifs aux bâtiments / paysage,81.21Z,
NOVEA,Services relatifs aux bâtiments / paysage,81.21Z,
O'PTIT SOIN,Services relatifs aux bâtiments / paysage,81.21Z,
OSERV,Services relatifs aux bâtiments / paysage,81.21Z,
OUEST MULTISERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
OVINET - MULTISERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
PERLE SERVICE,Services relatifs aux bâtiments / paysage,81.21Z,
PRO NET CITY,Services relatifs aux bâtiments / paysage,81.22Z,
PRO'NET PLUS,Services relatifs aux bâtiments / paysage,81.22Z,
PROPER SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
PROPRE ET NET (PEN),Services relatifs aux bâtiments / paysage,81.21Z,
PROPROSPHERE,Services relatifs aux bâtiments / paysage,81.21Z,
RACHIDA EL ASRI,Services relatifs aux bâtiments / paysage,81.21Z,
RAMBAUD PAYSAGE,Services relatifs aux bâtiments / paysage,81.30Z,
REGINA JOVANOVIC,Services relatifs aux bâtiments / paysage,81.21Z,
SABARI NET,Services relatifs aux bâtiments / paysage,81.21Z,
SAMFIDOU CLEANING,Services relatifs aux bâtiments / paysage,81.21Z,
SCI FASI,Services relatifs aux bâtiments / paysage,81.10Z,
SM SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
SMART SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
SNS,Services relatifs aux bâtiments / paysage,81.21Z,
SQN SERVICES,Services relatifs aux bâtiments / paysage,81.21Z,
STEPHANE STEEMAN,Services relatifs aux bâtiments / paysage,81.30Z,
SYND COPR DU 136 138 BD R BALLANGER,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPR DU 4 A 12 AV. PABLO PICASSO 93,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPRO 10 12 AV CHARLEMAGNE,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPRO 3 R EUGENIE COTTON,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPRO 32 AV DES AULNES,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPRO DU 21 AV EDOUARD BRANLY,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPRO DU 3 SQUARE BABINET,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPRO DU 4 AV DE SULLY,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPRO PARC DE LA NOUE,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPROP  228 BD R BALLANGER,Services relatifs aux bâtiments / paysage,81.10Z,
SYND COPROP DU 1 RUE DU BON AVENIR,Services relatifs aux bâtiments / paysage,81.10Z,
SYND DE COPRO LES TOITS DU PARC,Services relatifs aux bâtiments / paysage,81.10Z,
SYND DE COPROPRIETE RES DE PRESLES,Services relatifs aux bâtiments / paysage,81.10Z,
SYND.COPR. 6 ALLEE URBAIN       VERRIER,Services relatifs aux bâtiments / paysage,81.10Z,
SYND.COPR. DU 30 RUE DE LA VOIE DES PRES,Services relatifs aux bâtiments / paysage,81.10Z,
SYNDICAT COPRO DU 2 RUE EUGENIE COTTON,Services relatifs aux bâtiments / paysage,81.10Z,
SYNDICAT DE COPROPRIETE,Services relatifs aux bâtiments / paysage,81.10Z,
TAOU AUTO,Services relatifs aux bâtiments / paysage,81.21Z,
TIM PAYSAGE,Services relatifs aux bâtiments / paysage,81.30Z,
TSN NETTOYAGE,Services relatifs aux bâtiments / paysage,81.21Z,
URBAIN FORNARI,Services relatifs aux bâtiments / paysage,81.21Z,
VARUNRAJH KALISTUS,Services relatifs aux bâtiments / paysage,81.21Z,
VAVILUX,Services relatifs aux bâtiments / paysage,81.21Z,
VEACESLAV KRAUSS,Services relatifs aux bâtiments / paysage,81.21Z,
VICTORINE GUILAVOGUI,Services relatifs aux bâtiments / paysage,81.21Z,
VIKTUAR,Services relatifs aux bâtiments / paysage,81.21Z,
WALIOU DISSOU,Services relatifs aux bâtiments / paysage,81.21Z,
WECASA MENAGE,Services relatifs aux bâtiments / paysage,81.21Z,
YACOUBA DIARRA,Services relatifs aux bâtiments / paysage,81.21Z,
YASMINA GARICHI,Services relatifs aux bâtiments / paysage,81.21Z,
YOUSSEF REDDAD,Services relatifs aux bâtiments / paysage,81.21Z,
ZAHRA HAMIDI,Services relatifs aux bâtiments / paysage,81.21Z,
ZAKIA NAIT MAMMAR,Services relatifs aux bâtiments / paysage,81.21Z,
ZINBI NETTOYAGE,Services relatifs aux bâtiments / paysage,81.21Z,
DYNAMI AVIATION,Transports aériens,51.21Z,
ANTONY MONTEIRO,Transports par eau,50.20Z,
2H PRESTIGE 95,Transports terrestres / transport par conduites,49.32Z,
2M TRANSPORT,Transports terrestres / transport par conduites,49.41A,
2YAM EXPRESS,Transports terrestres / transport par conduites,49.41B,
3C-TRANSPORTS,Transports terrestres / transport par conduites,49.32Z,
A TRANSPORT,Transports terrestres / transport par conduites,49.41B,
A.L.O.W KADDOURI TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
A.M.A TAXIS,Transports terrestres / transport par conduites,49.32Z,
A2R AUTO,Transports terrestres / transport par conduites,49.39B,
AACHOUR AUTO,Transports terrestres / transport par conduites,49.41A,
ABD TRANSPORTS,Transports terrestres / transport par conduites,49.41B,
ABDEL MADJID GUERIOUZ,Transports terrestres / transport par conduites,49.32Z,
ABDEL OUAID MAAMAR,Transports terrestres / transport par conduites,49.32Z,
ABDELHAFID FLITI,Transports terrestres / transport par conduites,49.32Z,
ABDELHAMID BEN MOHAMMED,Transports terrestres / transport par conduites,49.32Z,
ABDELHAMID MOUSSAOUI,Transports terrestres / transport par conduites,49.32Z,
ABDELHAMIDI MAHIEDDINE,Transports terrestres / transport par conduites,49.32Z,
ABDELHAQ HADANI,Transports terrestres / transport par conduites,49.41B,
ABDELKADER TIROUFINE,Transports terrestres / transport par conduites,49.32Z,
ABDELLAH CHIKER,Transports terrestres / transport par conduites,49.32Z,
ABDELLAH OUFADEME,Transports terrestres / transport par conduites,49.32Z,
ABDELLAOUI SALIME,Transports terrestres / transport par conduites,49.32Z,
ABDELLATIF BOUAISSA,Transports terrestres / transport par conduites,49.32Z,
ABDELWAHAB BATTOU,Transports terrestres / transport par conduites,49.32Z,
ABDENOUR KERKAR,Transports terrestres / transport par conduites,49.32Z,
ABDERRAHIM SID,Transports terrestres / transport par conduites,49.32Z,
ABDOSSE SERVICES,Transports terrestres / transport par conduites,49.41A,
ABDOULAYE WAGUE,Transports terrestres / transport par conduites,49.41A,
ABM,Transports terrestres / transport par conduites,49.32Z,
ABOU TALL,Transports terrestres / transport par conduites,49.32Z,
ABOU-BAKR MOKRANE,Transports terrestres / transport par conduites,49.32Z,
ACCES CAR SERVICE,Transports terrestres / transport par conduites,49.32Z,
ACCESS MOBILITY,Transports terrestres / transport par conduites,49.32Z,
ADEL BEN AISSA,Transports terrestres / transport par conduites,49.32Z,
ADMIR CUNA,Transports terrestres / transport par conduites,49.32Z,
ADN LOGISTIQUE,Transports terrestres / transport par conduites,49.41B,
ADNANE SADKI,Transports terrestres / transport par conduites,49.32Z,
ADORPRIVECAR,Transports terrestres / transport par conduites,49.32Z,
AF TRANSPORT DE PERSONNES,Transports terrestres / transport par conduites,49.32Z,
AH TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
AHFES TARIK,Transports terrestres / transport par conduites,49.32Z,
AHMED ROUAHI,Transports terrestres / transport par conduites,49.32Z,
AJ PRESTIGE,Transports terrestres / transport par conduites,49.32Z,
AKG TAXI,Transports terrestres / transport par conduites,49.32Z,
AKIM LINE,Transports terrestres / transport par conduites,49.32Z,
AKM TRANSPORT,Transports terrestres / transport par conduites,49.41A,
ALB PRESTIGE,Transports terrestres / transport par conduites,49.32Z,
ALI ALL AIRPORT,Transports terrestres / transport par conduites,49.32Z,
ALI HACHIM,Transports terrestres / transport par conduites,49.32Z,
ALI LE KHMER,Transports terrestres / transport par conduites,49.32Z,
ALI OMANE,Transports terrestres / transport par conduites,49.32Z,
ALI OMRANI,Transports terrestres / transport par conduites,49.32Z,
ALI SOKRI,Transports terrestres / transport par conduites,49.32Z,
ALI ZENASNI,Transports terrestres / transport par conduites,49.32Z,
ALLIANCE TRANSPORT,Transports terrestres / transport par conduites,49.41A,
ALLO VTC,Transports terrestres / transport par conduites,49.32Z,
ALN SERVICES,Transports terrestres / transport par conduites,49.32Z,
ALTAG,Transports terrestres / transport par conduites,49.41B,
AMADOU BAH,Transports terrestres / transport par conduites,49.32Z,
AMAR MEGHZIFENE,Transports terrestres / transport par conduites,49.32Z,
AMEL TRANSPORT,Transports terrestres / transport par conduites,49.41B,
AMF TRANS,Transports terrestres / transport par conduites,49.41A,
AMIR CAB - E.I,Transports terrestres / transport par conduites,49.32Z,
AMIR RAHEM,Transports terrestres / transport par conduites,49.32Z,
AMIS TAXI,Transports terrestres / transport par conduites,49.32Z,
AMPLEUR CARS SERVICES,Transports terrestres / transport par conduites,49.32Z,
ANODIN SERVICES VTC,Transports terrestres / transport par conduites,49.32Z,
ANOUAR ABOUDOU,Transports terrestres / transport par conduites,49.41A,
ANS DRIVE,Transports terrestres / transport par conduites,49.32Z,
ANSS TRANSPORT,Transports terrestres / transport par conduites,49.39B,
ANTHONY GRAVELOT,Transports terrestres / transport par conduites,49.41A,
ANTHONY VINCENT,Transports terrestres / transport par conduites,49.32Z,
AOM TAXI,Transports terrestres / transport par conduites,49.32Z,
AREZKI HIMI,Transports terrestres / transport par conduites,49.32Z,
ARTISAN MOUSSA,Transports terrestres / transport par conduites,49.32Z,
AS TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
ASGHARE JUMMA,Transports terrestres / transport par conduites,49.32Z,
ASRI DRIVER,Transports terrestres / transport par conduites,49.32Z,
ASSITAN NIAKATE,Transports terrestres / transport par conduites,49.32Z,
ASSYA TRANSPORTS,Transports terrestres / transport par conduites,49.32Z,
ATIGUI LAHCENE,Transports terrestres / transport par conduites,49.32Z,
AUTO-NTIC TRANSPORTS,Transports terrestres / transport par conduites,49.32Z,
AUTOMEDON-CAR,Transports terrestres / transport par conduites,49.32Z,
AVASH VTC,Transports terrestres / transport par conduites,49.32Z,
AYOUB ETTARFI,Transports terrestres / transport par conduites,49.32Z,
AZ TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
AZAM MOHAMMAD,Transports terrestres / transport par conduites,49.32Z,
AZEL TRANS,Transports terrestres / transport par conduites,49.41B,
AZIZ SALHI,Transports terrestres / transport par conduites,49.32Z,
B.N.I. TRANSPORTS,Transports terrestres / transport par conduites,49.41A,
BA TRAN,Transports terrestres / transport par conduites,49.32Z,
BAGA PRESTIGE,Transports terrestres / transport par conduites,49.32Z,
BASTIEN KISI LUSEKO,Transports terrestres / transport par conduites,49.32Z,
BEBISOA RAKOTOARISOA,Transports terrestres / transport par conduites,49.32Z,
BEKKAY KHATIRI,Transports terrestres / transport par conduites,49.32Z,
BELECK BELVU,Transports terrestres / transport par conduites,49.32Z,
BELKACEM GALOUL,Transports terrestres / transport par conduites,49.32Z,
BEN MOUSSA,Transports terrestres / transport par conduites,49.32Z,
BENKHALED OUAFI,Transports terrestres / transport par conduites,49.32Z,
BENS TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
BERNARD MARC DONALD,Transports terrestres / transport par conduites,49.32Z,
BERNARD PINSAR,Transports terrestres / transport par conduites,49.32Z,
BERTHY JESSY,Transports terrestres / transport par conduites,49.32Z,
BH DEMENAGEMENT,Transports terrestres / transport par conduites,49.41B,
BILLY CHARINI,Transports terrestres / transport par conduites,49.41A,
BJPRO TRANSPORTS,Transports terrestres / transport par conduites,49.41A,
BMA TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
BMD TAXI,Transports terrestres / transport par conduites,49.32Z,
BO PRESTIGE TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
BONNEVY MOUSAR,Transports terrestres / transport par conduites,49.32Z,
BORO DIOUMASSY,Transports terrestres / transport par conduites,49.32Z,
BOUBACAR KONATE,Transports terrestres / transport par conduites,49.32Z,
BRAHIM LOUJAHDI,Transports terrestres / transport par conduites,49.32Z,
BRUNO HERNANDEZ DE LA MANO,Transports terrestres / transport par conduites,49.32Z,
BS TAXI,Transports terrestres / transport par conduites,49.32Z,
BUNNA CHAN,Transports terrestres / transport par conduites,49.32Z,
BYA SERVICES,Transports terrestres / transport par conduites,49.41B,
C.S.T PRO,Transports terrestres / transport par conduites,49.41B,
CAB 7EVEN,Transports terrestres / transport par conduites,49.32Z,
CALOGERO FARINA,Transports terrestres / transport par conduites,49.41B,
CARAMO MANE,Transports terrestres / transport par conduites,49.32Z,
CASA SERVICES,Transports terrestres / transport par conduites,49.32Z,
CGS RECYCLABLE,Transports terrestres / transport par conduites,49.41B,
CHAKIR EL MALKI,Transports terrestres / transport par conduites,49.32Z,
CHAN CHHUN,Transports terrestres / transport par conduites,49.32Z,
CHAOUKI ASSIAFI,Transports terrestres / transport par conduites,49.32Z,
CHAOUKI HOURIA,Transports terrestres / transport par conduites,49.32Z,
CHARLES SYLVAIN MISSAPA NDJOCKE,Transports terrestres / transport par conduites,49.32Z,
CHEIKH LALLIER,Transports terrestres / transport par conduites,49.41A,
CHERIF BETTAYEB,Transports terrestres / transport par conduites,49.32Z,
CHM DRIVE,Transports terrestres / transport par conduites,49.32Z,
CHRIS-TRANSPORT,Transports terrestres / transport par conduites,49.41A,
CHRISNEL SIMEON,Transports terrestres / transport par conduites,49.32Z,
CHRISTIAN RODRIGUES,Transports terrestres / transport par conduites,49.32Z,
CHRISTOPHE BUCHERE,Transports terrestres / transport par conduites,49.32Z,
CHU SIN VONG,Transports terrestres / transport par conduites,49.32Z,
CINEVIPARIS,Transports terrestres / transport par conduites,49.32Z,
CISSENOUR,Transports terrestres / transport par conduites,49.32Z,
CITIZEN LIMOUSINE SERVICES,Transports terrestres / transport par conduites,49.39B,
CITO PRIVATE CAB,Transports terrestres / transport par conduites,49.32Z,
CLEMENT AMAR,Transports terrestres / transport par conduites,49.32Z,
COLISTARS TRANSPORT,Transports terrestres / transport par conduites,49.41B,
CONFORT LINE,Transports terrestres / transport par conduites,49.39B,
CONTINENTAL LIMOUSINES,Transports terrestres / transport par conduites,49.32Z,
COTO TRANSPORT,Transports terrestres / transport par conduites,49.41B,
DAMIEN GARCIA,Transports terrestres / transport par conduites,49.32Z,
DANG TRANSPORT PRIVE,Transports terrestres / transport par conduites,49.32Z,
DANY REMONDES,Transports terrestres / transport par conduites,49.32Z,
DAOUDA NIANG,Transports terrestres / transport par conduites,49.32Z,
DARITH HING,Transports terrestres / transport par conduites,49.32Z,
DAUPHIN VTC,Transports terrestres / transport par conduites,49.32Z,
DAVLYN DRIVER,Transports terrestres / transport par conduites,49.32Z,
DAWOOD M,Transports terrestres / transport par conduites,49.32Z,
DBOS TAXIS,Transports terrestres / transport par conduites,49.32Z,
DEMANDCARS VTC,Transports terrestres / transport par conduites,49.32Z,
DEMETEK,Transports terrestres / transport par conduites,49.42Z,
DENIS HIEN,Transports terrestres / transport par conduites,49.32Z,
DHIA BEN HASSINE,Transports terrestres / transport par conduites,49.32Z,
DIA TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
DIABI DRAME,Transports terrestres / transport par conduites,49.32Z,
DIAGNE CARS,Transports terrestres / transport par conduites,49.32Z,
DIALA TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
DIASPORA FRET,Transports terrestres / transport par conduites,49.41B,
DIEULEME PHILEMON,Transports terrestres / transport par conduites,49.32Z,
DIOUMASSY LASSANA EI,Transports terrestres / transport par conduites,49.32Z,
DJAMAL KLOUL,Transports terrestres / transport par conduites,49.32Z,
DJENNA CAR,Transports terrestres / transport par conduites,49.32Z,
DJFM,Transports terrestres / transport par conduites,49.41B,
DJIBRIL DRAME,Transports terrestres / transport par conduites,49.32Z,
DJILLALI AZIZ,Transports terrestres / transport par conduites,49.32Z,
DMA PRESTIGE SERVICE,Transports terrestres / transport par conduites,49.32Z,
DORSINVIL TRANSPORT,Transports terrestres / transport par conduites,49.32Z,
DOTRAVEL,Transports terrestres / transport par conduites,49.32Z,
DRHOUSING-FLAT IMMO,Transports terrestres / transport par conduites,49.32Z,
DRIVER COMPAGNIE,Transports terrestres / transport par conduites,49.32Z,
DS PROTEC,Transports terrestres / transport par conduites,49.32Z,
